backbone,dataset,metric,value
swin_tiny_patch4_window7_224-pil,arctic,mpjpe.pa.ra,11.4403966870908
swin_tiny_patch4_window7_224-pil,arctic,mrrpe.rl,60.82461931900575
swin_tiny_patch4_window7_224-pil,arctic,pix_err,9.854378496021452
swin_tiny_patch4_window7_224,assembly,mpjpe.ra,36.46745787449077
swin_tiny_patch4_window7_224,assembly,mpjpe.pa.ra,14.338478369463695
swin_tiny_patch4_window7_224,assembly,mrrpe.rl,82.0275323132932
swin_tiny_patch4_window7_224,assembly,pix_err,7.321979005089139
swin_tiny_patch4_window7_224,h2o,mpjpe.ra,111.55561030624943
swin_tiny_patch4_window7_224,h2o,mpjpe.pa.ra,26.899757286291575
swin_tiny_patch4_window7_224,h2o,mrrpe.rl,1316.3819232923386
swin_tiny_patch4_window7_224,h2o,pix_err,186.0408979562185
swin_tiny_patch4_window7_224,epic_handkps,pix_err,745.0918545201949
swin_tiny_patch4_window7_224,egoexo,mpjpe.ra,125.44655855263466
swin_tiny_patch4_window7_224,egoexo,mpjpe.pa.ra,24.006535936998688
swin_tiny_patch4_window7_224,egoexo,pix_err,61.10236678800439
swin_tiny_patch4_window7_224,arctic,mpjpe.ra,34.400437829308984
swin_tiny_patch4_window7_224,arctic,mpjpe.pa.ra,11.431752792177306
swin_tiny_patch4_window7_224,arctic,mrrpe.rl,55.48196675476519
swin_tiny_patch4_window7_224,arctic,pix_err,9.971110534491974
resnet50-pil,assembly,mpjpe.ra,34.712638442040216
resnet50-pil,assembly,mpjpe.pa.ra,14.164965927648828
resnet50-pil,assembly,mrrpe.rl,75.99832579067775
resnet50-pil,assembly,pix_err,6.738125025570977
resnet50-pil,h2o,mpjpe.ra,118.6279701222463
resnet50-pil,h2o,mpjpe.pa.ra,32.3205511347833
resnet50-pil,h2o,mrrpe.rl,2305.8296914307134
resnet50-pil,h2o,pix_err,406.83998603646694
resnet50-pil,epic_handkps,pix_err,838.4805750402659
resnet50-pil,egoexo,mpjpe.ra,128.08087987218832
resnet50-pil,egoexo,mpjpe.pa.ra,22.50427874319808
resnet50-pil,egoexo,pix_err,45.96017452965079
resnet50-pil,arctic,mpjpe.ra,41.053893445466315
resnet50-pil,arctic,mpjpe.pa.ra,11.501024426084015
resnet50-pil,arctic,mrrpe.rl,58.881250493900126
resnet50-pil,arctic,pix_err,10.134697443801265
